#Nodes with GAIN events with expectation above 0.5
B3088: 0.578602
PGA445: 1.14313
FGA379: 1.02638
Furcep: 1.78338
FGA331: 1.63706
FGA104: 0.640722
FGA174: 0.928418
CGA312: 0.676482
C3125: 1.19152
C3134: 1.27817
N50: 0.623614
C2208: 0.916129
N54: 0.765321
Kinxen: 0.737393
N76: 0.736784
Total number of gain events: 30.9134
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
B3088: 0.91545
BGA709: 0.811329
BGA309: 0.811329
PGA445: 1.28359
N13: 0.647307
N14: 1.88432
Rhaspe: 5.54535
Rhamar: 5.24307
Rhatem: 4.29011
N18: 0.843955
FGA379: 0.71344
N19: 2.26571
N20: 0.96887
N21: 0.515383
F3016: 2.08045
F1476: 1.43242
N28: 0.738211
Fga490: 0.520154
FGA465: 1.14662
N36: 0.55983
FGA99: 0.624799
FGA15: 0.624799
FGA489: 1.92364
FurbGB: 2.63206
Calboe: 2.85719
CGA429: 1.97493
C985: 2.72399
CGA382: 1.74617
N49: 1.52424
C404: 1.18392
CGA45: 1.07335
C3121: 0.952864
N63: 4.69632
Trihoe: 0.504116
Tribit: 0.504116
Trijac: 0.932457
Kinxen: 0.750041
N70: 2.81675
N71: 2.04948
Chadil: 0.680056
Chasen: 0.680056
Chanam: 2.90486
N76: 1.01157
Total number of loss events: 89.1129
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 2.86954e-35
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.182594	0.0422069	4.10346e-60	0	0
N3	0.372801	0.196061	4.6467e-70	0	0
N4	0.0689823	0.0493372	3.47683e-72	0	0
B3088	0.578602	0.91545	0	0	0
N5	0.068613	0.0764927	1.29539e-70	0	0
BGA709	0.482355	0.811329	0	0	0
BGA309	0.482355	0.811329	0	0	0
N6	0.135511	0.213075	1.52885e-71	0	0
N7	0.183981	0.291763	9.12019e-69	0	0
B11696	0.159737	0.291591	0	0	0
B11609	0.159737	0.291591	0	0	0
N8	0.0346622	0.0687061	1.65e-81	0	0
N9	0.0103747	0.018444	2.24267e-87	0	0
N10	0.0632148	0.0971319	2.04005e-71	0	0
B985	0.22095	0.384557	0	0	0
B199	0.22095	0.384557	0	0	0
N11	0.10383	0.176303	4.96532e-72	0	0
BGA89	0.156024	0.281074	0	0	0
BGAA2	0.156024	0.281074	0	0	0
N12	0.138902	0.234894	8.2203e-76	0	0
BGA304	0.13862	0.248219	0	0	0
BGAB1	0.13862	0.248219	0	0	0
PGA445	1.14313	1.28359	0	0	0
N13	0.0256327	0.647307	5.0613e-61	0	0
N14	0.00549298	1.88432	2.39631e-56	0	0
Rhaspe	0.393731	5.54535	0	0	0
N15	0.00567551	0.31605	2.86954e-35	0	0
Rhamar	0.405692	5.24307	0	0	0
Rhatem	0.452639	4.29011	0	0	0
N16	0.0622028	0.0135784	1.91852e-75	0	0
N17	0.22754	0.142695	1.72176e-72	0	0
N18	0.0227251	0.843955	2.98731e-62	0	0
FGA379	1.02638	0.71344	0	0	0
N19	0.012313	2.26571	2.04372e-50	0	0
N20	0.0305269	0.96887	1.86799e-51	0	0
N21	0.00264852	0.515383	1.37871e-54	0	0
F3016	0.173536	2.08045	0	0	0
N22	0.00315699	0.154449	3.82584e-51	0	0
N23	0.0100785	0.100464	2.38783e-53	0	0
N24	0.00566444	0.347254	9.94959e-64	0	0
N25	0.00552184	0.026726	2.53827e-64	0	0
F1476	0.130125	1.43242	0	0	0
