haploidn,tips,sim
14,F12278,5
14,FGA331,5
14,Furant,5
17,FGA581,5
15,FGA15,5
17,FGA99,5
16,F2241,5
15,Furang,5
13,FGA490,5
15,Furpol,5
16,Furcep,5
14,F1476,5
15,FGA104,5
15,FGA489,5
14,F3015,5
13,FGA174,5
14,FurbGB,5
17,FGA379,5
17,Tribit,5
17,Trihoe,5
16,Trijac,5
16,Trijoh,5
17,Trimel,5
18,Triowe,5
17,Tricri,5
16,Triwie,5
16,Triqua,5
17,Kinboe,5
15,Kinfis,5
17,Kinxen,5
17,Bratra,5
17,Bradra,5
17,Bratha,5
17,Bramel,5
16,Braset,5
17,Braven,5
16,Bragut,5
16,Brapum,5
15,Bradam,5
17,Chazey,5
17,Chacaly,5
17,Chaafr,5
17,Chacha,5
17,Chadil,5
16,Chasen,5
15,Chanam,5
15,Rhamar,5
14,Rhatem,5
18,Rhaspe,5
12,BGA584,6
13,BGAA1,6
15,B11604,6
15,B983,6
18,BGA303,6
17,BGAB1,6
14,B11609,6
15,B11696,6
15,B3088,6
16,BGA709,6
16,BGA309,6
16,PGA445,6
13,CGA763,6
12,C601,6
13,CGA642,6
15,CGA429,6
15,C3125,6
14,Calboe,6
13,CGA236,6
16,CGA365,6
14,CGA494,6
15,CGA310,6
16,C984,6
15,CGA48,6
15,Cl11778,6
15,C404,6
12,C12265,6
14,C3126,6
16,CGA312,6
15,C3043,6
15,CGA364,6
13,CGA45,6
15,C2208,6
13,CGA311,6
15,CGA501,6
15,C3121,6
15,CGA453,6
17,C3118,6
17,Calparcri,6
15,FGA513,6
15,FGA456,6
15,FGA465,6
15,F12278,6
15,FGA331,6
14,Furant,6
15,FGA581,6
15,FGA15,6
14,FGA99,6
15,F2241,6
14,Furang,6
15,FGA490,6
15,Furpol,6
16,Furcep,6
14,F1476,6
13,FGA104,6
16,FGA489,6
16,F3015,6
15,FGA174,6
14,FurbGB,6
16,FGA379,6
17,Tribit,6
17,Trihoe,6
17,Trijac,6
21,Trijoh,6
20,Trimel,6
20,Triowe,6
16,Tricri,6
15,Triwie,6
14,Triqua,6
18,Kinboe,6
17,Kinfis,6
17,Kinxen,6
15,Bratra,6
15,Bradra,6
15,Bratha,6
15,Bramel,6
15,Braset,6
14,Braven,6
14,Bragut,6
15,Brapum,6
15,Bradam,6
15,Chazey,6
14,Chacaly,6
15,Chaafr,6
16,Chacha,6
14,Chadil,6
15,Chasen,6
15,Chanam,6
18,Rhamar,6
17,Rhatem,6
17,Rhaspe,6
19,BGA584,7
18,BGAA1,7
19,B11604,7
18,B983,7
20,BGA303,7
20,BGAB1,7
19,B11609,7
19,B11696,7
19,B3088,7
18,BGA709,7
18,BGA309,7
19,PGA445,7
15,CGA763,7
15,C601,7
15,CGA642,7
15,CGA429,7
15,C3125,7
15,Calboe,7
15,CGA236,7
15,CGA365,7
14,CGA494,7
15,CGA310,7
15,C984,7
17,CGA48,7
17,Cl11778,7
17,C404,7
15,C12265,7
16,C3126,7
15,CGA312,7
17,C3043,7
18,CGA364,7
14,CGA45,7
15,C2208,7
14,CGA311,7
18,CGA501,7
