binomial,genus,taxonomic_authority,range,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,centroidY,centroidX,min,max,mean,category,habitat_code,habitat,suitability,season,major_importantance
Archaius tigris,Archaius,"KUHL, 1820",0.00317227232827,258.22222222222223,41.55555555555556,66.44444444444444,607.4444444444445,293.8888888888889,231.77777777777777,62.111111111111114,257.77777777777777,252.44444444444446,266.1111111111111,250.33333333333334,2210.4444444444443,372.77777777777777,67.33333333333333,48.22222222222222,942.2222222222222,230.11111111111111,532.7777777777778,286.1111111111111,-4.601011428849397,55.434922733617256,-4.73499136099997,-4.311142568999969,-4.352601108029498,EN,14.3,Artificial/Terrestrial - Plantations,Marginal,Resident,NA
Archaius tigris,Archaius,"KUHL, 1820",0.00317227232827,258.22222222222223,41.55555555555556,66.44444444444444,607.4444444444445,293.8888888888889,231.77777777777777,62.111111111111114,257.77777777777777,252.44444444444446,266.1111111111111,250.33333333333334,2210.4444444444443,372.77777777777777,67.33333333333333,48.22222222222222,942.2222222222222,230.11111111111111,532.7777777777778,286.1111111111111,-4.601011428849397,55.434922733617256,-4.73499136099997,-4.311142568999969,-4.352601108029498,EN,14.4,Artificial/Terrestrial - Rural Gardens,Marginal,Resident,NA
Archaius tigris,Archaius,"KUHL, 1820",0.00317227232827,258.22222222222223,41.55555555555556,66.44444444444444,607.4444444444445,293.8888888888889,231.77777777777777,62.111111111111114,257.77777777777777,252.44444444444446,266.1111111111111,250.33333333333334,2210.4444444444443,372.77777777777777,67.33333333333333,48.22222222222222,942.2222222222222,230.11111111111111,532.7777777777778,286.1111111111111,-4.601011428849397,55.434922733617256,-4.73499136099997,-4.311142568999969,-4.352601108029498,EN,16,Introduced vegetation,Marginal,Resident,NA
Archaius tigris,Archaius,"KUHL, 1820",0.00317227232827,258.22222222222223,41.55555555555556,66.44444444444444,607.4444444444445,293.8888888888889,231.77777777777777,62.111111111111114,257.77777777777777,252.44444444444446,266.1111111111111,250.33333333333334,2210.4444444444443,372.77777777777777,67.33333333333333,48.22222222222222,942.2222222222222,230.11111111111111,532.7777777777778,286.1111111111111,-4.601011428849397,55.434922733617256,-4.73499136099997,-4.311142568999969,-4.352601108029498,EN,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,Resident,Yes
Archaius tigris,Archaius,"KUHL, 1820",0.00317227232827,258.22222222222223,41.55555555555556,66.44444444444444,607.4444444444445,293.8888888888889,231.77777777777777,62.111111111111114,257.77777777777777,252.44444444444446,266.1111111111111,250.33333333333334,2210.4444444444443,372.77777777777777,67.33333333333333,48.22222222222222,942.2222222222222,230.11111111111111,532.7777777777778,286.1111111111111,-4.601011428849397,55.434922733617256,-4.73499136099997,-4.311142568999969,-4.352601108029498,EN,3.6,Shrubland - Subtropical/Tropical Moist,Marginal,Resident,NA
Bradypodion atromontanum,Bradypodion,"BRANCH, TOLLEY & TILBURY, 2006",0.136893375227,131.73333333333332,145.46666666666667,57.2,3716.133333333333,261.93333333333334,9.6,252.33333333333334,161.8,87.46666666666667,178.13333333333333,83.13333333333334,379.06666666666666,42.46666666666667,24.933333333333334,15.333333333333334,115.66666666666667,81.4,95,82.06666666666666,-33.37454852962486,21.956050530235128,-33.45966211499996,-33.28800125499998,-33.38505273487874,LC,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Suitable,NA,NA
Bradypodion caeruleogula,Bradypodion,"RAW & BROTHERS, 2008",0.00410401668167,189,104,61,2267,267,98,169,215,162,217,158,1016,143,25,52,409,88,387,88,-28.864922106263634,31.58482498663152,-28.925275804999956,-28.818606272999943,-28.883875040624115,EN,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,NA,NA
Bradypodion caffer,Bradypodion,"BOETTGER, 1889",0.00849713171361,198,73,55,1974,257,126,131,224,173,224,173,1088,136,33,39,378,124,378,124,-31.55826877662536,29.601195184604904,-31.65799033999997,-31.401776953999956,-31.557962741229467,EN,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,NA,NA
Bradypodion damaranum,Bradypodion,"BOULENGER, 1887",0.222610005705,157.59375,103.71875,57.59375,2567.84375,245.09375,66.625,178.46875,143.875,139.8125,190.125,124.78125,853.40625,85.1875,56.4375,11.25,240.75,187.84375,209.90625,201.71875,-33.948523873794386,23.08502307930527,-34.07771095199996,-33.854801529999975,-33.98545930852435,LC,14.5,Artificial/Terrestrial - Urban Areas,Suitable,NA,NA
Bradypodion damaranum,Bradypodion,"BOULENGER, 1887",0.222610005705,157.59375,103.71875,57.59375,2567.84375,245.09375,66.625,178.46875,143.875,139.8125,190.125,124.78125,853.40625,85.1875,56.4375,11.25,240.75,187.84375,209.90625,201.71875,-33.948523873794386,23.08502307930527,-34.07771095199996,-33.854801529999975,-33.98545930852435,LC,1.6,Forest - Subtropical/Tropical Moist Lowland,Suitable,NA,NA
Bradypodion dracomontanum,Bradypodion,"RAW, 1976",0.215764937582,135.2258064516129,136.25806451612902,55.354838709677416,3715.2580645161293,239.19354838709677,-4.290322580645161,243.48387096774192,175.61290322580646,83.09677419354838,176.5483870967742,82.80645161290323,907.9354838709677,155.06451612903226,10.32258064516129,68.03225806451613,426.1290322580645,45.32258064516129,425.3225806451613,45.645161290322584,-28.576006648484807,29.217584253781848,-29.14292138099995,-27.85329268399994,-28.50791403365213,NT,1.9,Forest - Subtropical/Tropical Moist Montane,Suitable,NA,NA
Bradypodion dracomontanum,Bradypodion,"RAW, 1976",0.215764937582,135.2258064516129,136.25806451612902,55.354838709677416,3715.2580645161293,239.19354838709677,-4.290322580645161,243.48387096774192,175.61290322580646,83.09677419354838,176.5483870967742,82.80645161290323,907.9354838709677,155.06451612903226,10.32258064516129,68.03225806451613,426.1290322580645,45.32258064516129,425.3225806451613,45.645161290322584,-28.576006648484807,29.217584253781848,-29.14292138099995,-27.85329268399994,-28.50791403365213,NT,4.5,Grassland - Subtropical/Tropical Dry,Suitable,NA,NA
Bradypodion gutturale,Bradypodion,"SMITH, 1849",5.01152231915,157.78254847645428,138.16481994459835,54.988919667590025,3893.5152354570637,285.2008310249307,35.7797783933518,249.42105263157896,137.55540166204986,187.97783933518005,205.98891966759004,107.1426592797784,412.29639889196676,53.835180055401665,18.885041551246537,32.42797783933518,146.52354570637118,66.68005540166205,72.30886426592798,135.51246537396122,-33.550835130999644,20.60444564584604,-34.66250241499995,-32.083335630999954,-33.64515674322662,LC,3.5,Shrubland - Subtropical/Tropical Dry,Suitable,NA,NA
