tips,genus,species,Binomial,chromon,armn,macrop,microp,norpos,norpair,its,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,ref,haploidn,Binomial_Marcello,Realm,Latitude,Longitude,maxSVL,Substrate,Repromode,minClutchSize,maxClutchSize,minBreedingAge,maxBreedingAge
Bratra,Bradypodion,bradypodion_transvaalense,Bradypodion transvaalense,34,46,6,11,macro,2,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon et al., 1989",17,Bradypodion transvaalense,Afrotropic,-24.63,30.44,86,Arboreal,Viviparous,7,17,18,18
Bradra,Bradypodion,bradypodion_dracomontanum,Bradypodion dracomontanum,34,46,6,11,macro,2,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon et al., 1989",17,Bradypodion dracomontanum,Afrotropic,-29.35,29.52,81.5,Arboreal,Viviparous,8,14,8,8
Brapum,Bradypodion,bradypodion_pumilum,Bradypodion pumilum,34,46,6,11,macro,2,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1956; Matthey, 1957",17,Bradypodion pumilum,Afrotropic,-30.36,17.74,103.6,Arboreal&Terrestrial,Viviparous,2,21,5,18
Bradam,Bradypodion,bradypodion_damaranum,Bradypodion damaranum,34,46,6,11,macro,2,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon, 1989 unpublished; Gordon et al., 1989",17,Bradypodion damaranum,Afrotropic,-33.86,22.9,82.3,Arboreal,Viviparous,2,21,8,9
Braset,Bradypodion,bradypodion_setaroi,Bradypodion setaroi,34,46,6,11,macro,2,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon, 1989 unpublished; Gordon et al., 1989",17,Bradypodion setaroi,Afrotropic,-27.8,32.05,72,Arboreal,Viviparous,6,11,4,5
Bragut,Bradypodion,bradypodion_gutturale,Bradypodion gutturale,34,46,6,11,macro,2,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon, 1989 unpublished; Gordon et al., 1989",17,Bradypodion gutturale,Afrotropic,-33.49,20.54,85,Arboreal,Viviparous,10,20,18,18
Braven,Bradypodion,bradypodion_ventrale,Bradypodion ventrale,34,46,6,11,macro,2,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon, 1989 unpublished; Gordon et al., 1989",17,Bradypodion ventrale,Afrotropic,-31.81,24.55,102,Arboreal,Viviparous,4,22,18,18
Chacha,Chamaeleo,chamaeleo_chamaeleon,Chamaeleo chamaeleon,24,36,6,6,macro,2,6,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957; Branch, 1980; Rovatsos et al., 2017; Sidhom et al., 2020a,b",12,Chamaeleo chamaeleon,Palearctic,31.03,14.58,170,Arboreal,Oviparous,3,50,7,12
Chacaly,Chamaeleo,chamaeleo_calyptratus,Chamaeleo calyptratus,24,36,6,6,macro,1,4,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Pokorna et al., 2011; Rovatsos et al., 2015, 2017",12,Chamaeleo calyptratus,Afrotropic,16.35,43.36,239,Arboreal,Oviparous,11,95,6,6
Chadil,Chamaeleo,chamaeleo_dilepis,Chamaeleo dilepis,24,36,6,6,macro,2,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957; De Smet, 1981",12,Chamaeleo dilepis,Afrotropic,-8.73,27,195,Arboreal&Terrestrial,Oviparous,2,77,9,12
Chanam,Chamaeleo,chamaeleo_namaquensis,Chamaeleo namaquensis,24,36,6,6,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Robinson, 1979",12,Chamaeleo namaquensis,Afrotropic,-24.95,17.23,160,Terrestrial,Oviparous,6,30,5,5
Chazey,Chamaeleo,chamaeleo_zeylanicus,Chamaeleo zeylanicus,24,36,6,6,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1931",12,Chamaeleo zeylanicus,Oriental,19.63,78.01,235,Arboreal,Oviparous,10,65,NA,NA
Chasen,Chamaeleo,chamaeleo_senegalensis,Chamaeleo senegalensis,24,36,6,6,NA,NA,NA,meta,meta,meta,meta,submeta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957",12,Chamaeleo senegalensis,Afrotropic,9.79,3.77,152,Arboreal,Oviparous,7,60,5,5
Chaafr,Chamaeleo,chamaeleo_africanus,Chamaeleo africanus,24,36,6,6,NA,NA,NA,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1960",12,Chamaeleo africanus,Afrotropic,14.03,20.07,200,Arboreal&Terrestrial,Oviparous,15,53,12,15
Kinboe,Kinyongia,kinyongia_boehmei,Kinyongia boehmei,36,48,6,12,macro,2,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017",18,Kinyongia boehmei,Afrotropic,-3.37,38.39,97,Arboreal,Oviparous,8,12,NA,NA
Kinxen,Kinyongia,kinyongia_xenorhina,Kinyongia xenorhina,36,48,6,12,macro,2,0,meta,meta,meta,meta,meta,submeta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017",18,Kinyongia xenorhina,Afrotropic,0.1,29.56,103,Arboreal,Oviparous,6,6,NA,NA
Kinfis,Kinyongia,kinyongia_fischeri,Kinyongia fischeri,36,48,6,12,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1956; Matthey, 1957",18,Kinyongia fischeri,Afrotropic,-5.76,37.57,200,Arboreal,Oviparous,10,32,6,6
Rhatem,Rhampholeon,rhampholeon_temporalis,Rhampholeon temporalis,22,38,8,3,macro,2,4,meta,meta,meta,submeta,submeta,submeta,meta,submeta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017",11,Rhampholeon temporalis,Afrotropic,-5.03,38.67,50,Arboreal&Terrestrial,Oviparous,3,8,NA,NA
Rhamar,Rhampholeon,rhampholeon_marshalli,Rhampholeon marshalli,20,38,9,1,NA,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Wright & Broadley, 1973",10,Rhampholeon marshalli,Afrotropic,-18.83,32.8,73,Arboreal&Terrestrial,Oviparous,10,18,24,36
Rhaspe,Rhampholeon,rhampholeon_spectrum,Rhampholeon spectrum,20,38,9,1,NA,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Matthey, 1957; Matthey & van Brink, 1960",10,Rhampholeon spectrum,Afrotropic,2.15,13.39,61,Arboreal&Terrestrial,Oviparous,1,5,3,3
Riebrev,Rieppeleon,rieppeleon_brevicaudatus,Rieppeleon brevicaudatus,62,62,14,17,macro,6,0,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,telo,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,"Rovatsos et al., 2017",31,Rieppeleon brevicaudatus,Afrotropic,-7.31,37.95,75,Arboreal&Terrestrial,Oviparous,2,10,8,8
Tribit,Trioceros,trioceros_bitaeniatus,Trioceros bitaeniatus,24,44,10,2,macro,2,2,submeta,submeta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,"Matthey, 1957; Rovatsos et al., 2015, 2017",12,Trioceros bitaeniatus,Afrotropic,2.84,34.52,92,Arboreal,Viviparous,3,25,NA,NA
Trihoe,Trioceros,tioceros_hoehnelii,Trioceros hoehnelii,24,44,10,2,macro,2,2,submeta,submeta,submeta,meta,submeta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,"Rovatsos et al., 2017",12,Tioceros hoehnelii,Afrotropic,-0.03,36,110.1,Arboreal,Viviparous,4,25,5,12
Trijoh,Trioceros,trioceros_johnstoni,Trioceros johnstoni,36,50,7,11,macro,2,12,meta,meta,meta,meta,meta,meta,subtelo,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957; Rovatsos et al., 2017",18,Trioceros johnstoni,Afrotropic,0.16,28.4,130,Arboreal,Oviparous,4,23,5,8
Trimel,Trioceros,trioceros_melleri,Trioceros melleri,36,48,6,12,macro,2,0,subtelo,subtelo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017",18,Trioceros melleri,Afrotropic,-12.07,37.93,288,Arboreal,Oviparous,15,91,18,24
Triqua,Trioceros,trioceros_quadricornis,Trioceros quadricornis,36,48,6,12,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1960",18,Trioceros quadricornis,Afrotropic,5.6,9.81,168,Arboreal,Oviparous,8,18,6,8
Triwie,Trioceros,trioceros_wiedersheimi,Trioceros wiedersheimi,36,48,6,12,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey & van Brink, 1960",18,Trioceros wiedersheimi,Afrotropic,6.01,10.48,100.5,Arboreal,Oviparous,7,11,NA,NA
Tricri,Trioceros,trioceros_cristatus,Trioceros cristatus,36,48,6,12,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957",18,Trioceros cristatus,Afrotropic,1.92,12.54,160,Arboreal&Terrestrial,Oviparous,11,37,24,24
Triowe,Trioceros,trioceros_oweni,Trioceros oweni,36,48,6,12,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957; Matthey & van Brink, 1960",18,Trioceros oweni,Afrotropic,0.4,19.16,148,Arboreal,Oviparous,9,19,NA,NA
Trijac,Trioceros,trioceros_jacksoni,Trioceros jacksonii,24,44,10,2,macro,2,NA,subtelo,subtelo,subtelo,subtelo,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,"Matthey & van Brink, 1960;  De Smet, 1981",12,Trioceros jacksoni,Afrotropic,-1,37.15,167,Arboreal,Viviparous,5,57,6,22
