tips,genus,species,Binomial,chromon,armn,macrop,microp,norpos,norpair,its,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,ref,haploidn,Binomial_Marcello,Realm,Latitude,Longitude,maxSVL,Substrate,Repromode,minClutchSize,maxClutchSize,minBreedingAge,maxBreedingAge
CGA429,Calumma,calumma_sp1,Calumma sp1,30,44,7,8,macro,2,NA,meta,meta,submeta,meta,submeta,meta,telo,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.3,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,this study,15,Calumma sp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CGA430,Calumma,calumma_sp1,Calumma sp1,30,44,7,8,macro,2,NA,meta,meta,submeta,meta,submeta,meta,telo,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.3,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,this study,15,Calumma sp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CGA312,Calumma,calumma_malthe,Calumma malthe,36,46,6,12,macro,1,4,meta,telo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017; this study",18,Calumma malthe,Madagascar,-16.71,48.88,135,Arboreal,Oviparous,34,34,NA,NA
CGA963,Calumma,calumma_malthe,Calumma malthe,36,46,6,12,macro,1,4,meta,telo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017; this study",18,Calumma malthe,Madagascar,-16.71,48.88,135,Arboreal,Oviparous,34,34,NA,NA
CGA236,Calumma,calumma_radamanus_complex,Calumma radamanus,34,52,9,8,macro,2,4,meta,meta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Matthey, 1957; this study",17,Calumma radamanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CGA453,Calumma,calumma_oshaughnessyi,Calumma oshaughnessyi,36,48,6,12,macro,2,0,meta,subtelo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971; this study",18,Calumma oshaughnessyi,Madagascar,-22.09,47.26,180,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
CGA383,Calumma,calumma_oshaughnessyi,Calumma oshaughnessyi,36,48,6,12,macro,2,0,meta,subtelo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971; this study",18,Calumma oshaughnessyi,Madagascar,-22.09,47.26,180,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
C12265,Calumma,calumma_hilleniusi,Calumma hilleniusi,36,54,9,9,NA,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study,18,Calumma hilleniusi,Madagascar,-21.05,46.5,73,Arboreal&Terrestrial,Oviparous,7,10,NA,NA
C404,Calumma,calumma_crypticum,Calumma crypticum,30,46,8,7,macro,2,4,meta,meta,submeta,meta,meta,meta,meta,telo,NA,NA,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.1,NA,NA,NA,NA,NA,NA,this study,15,Calumma crypticum,Madagascar,-19.08,47.88,115,NA,NA,NA,NA,NA,NA
Cl11778,Calumma,calumma_brevicorne2,Calumma brevicorne,32,48,8,8,macro,2,4,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study,16,Calumma brevicorne2,Madagascar,-18.13,48.31,170,Arboreal&Terrestrial,Oviparous,5,30,8,8
Cl11779,Calumma,calumma_brevicorne2,Calumma brevicorne,32,48,8,8,macro,2,4,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study,16,Calumma brevicorne2,Madagascar,-18.13,48.31,170,Arboreal&Terrestrial,Oviparous,5,30,8,8
CGA501,Calumma,calumma_globifer,Calumma globifer,36,48,6,12,macro,2,0,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1973; Rovatsos et al., 2017; this study",18,Calumma globifer,Madagascar,-17.31,48.38,187,Arboreal,Oviparous,25,50,8,8
C11776,Calumma,calumma_globifer,Calumma globifer,36,48,6,12,macro,2,0,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1973; Rovatsos et al., 2017; this study",18,Calumma globifer,Madagascar,-17.31,48.38,187,Arboreal,Oviparous,25,50,8,8
CGA364,Calumma,calumma_glawi,Calumma glawi,36,50,7,11,NA,NA,NA,meta,meta,meta,meta,submeta,submeta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,this study,18,Calumma glawi,Madagascar,-21.46,47.4,68,Arboreal,Oviparous,NA,NA,NA,NA
CGA368,Calumma,calumma_gastrotaenia2,Calumma gastrotaenia,36,48,6,12,macro,2,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Calumma gastrotaenia2,Madagascar,-18.69,47.76,73,Arboreal,Oviparous,NA,NA,NA,NA
CGA557,Calumma,calumma_gastrotaenia2,Calumma gastrotaenia,36,48,6,12,macro,2,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Calumma gastrotaenia2,Madagascar,-18.69,47.76,73,Arboreal,Oviparous,NA,NA,NA,NA
CGA311,Calumma,calumma_furcifer,Calumma furcifer,36,48,6,12,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Calumma furcifer,Madagascar,-18.4,48.78,72,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
CGA310,Calumma,calumma_emelinae,Calumma emelinae,30,44,7,8,macro,2,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study,15,Calumma emelinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CGA314,Calumma,calumma_emelinae,Calumma emelinae,30,44,7,8,macro,2,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study,15,Calumma emelinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CGA365,Calumma,calumma_fallax1,Calumma fallax,30,44,7,8,macro,2,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study,15,Calumma fallax1,Madagascar,-18.15,48.6,48.8,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
CGA382,Calumma,calumma_fallax1,Calumma fallax,30,44,7,8,macro,2,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study,15,Calumma fallax1,Madagascar,-18.15,48.6,48.8,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
CGA48,Calumma,calumma_brevicorne1,Calumma brevicorne,32,50,9,7,macro,1,2,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study",16,Calumma brevicorne1,Madagascar,-18.13,48.31,170,Arboreal&Terrestrial,Oviparous,5,30,8,8
