haploidn,tips,sim
13,FGA456,4
13,FGA516,4
13,FGA513,4
13,F12278,4
13,F12279,4
13,Furant,4
13,FGA331,4
13,FGA332,4
13,FGA465,4
14,FGA99,4
14,F12269,4
20,FGA15,4
20,FGA440,4
13,FGA581,4
13,FGA582,4
14,FGA104,4
14,FGA105,4
19,FGA489,4
13,FGA174,4
13,FGA175,4
12,FurbGB,4
13,CGA312,4
13,CGA963,4
13,CGA642,4
13,CGA763,4
13,CGA764,4
13,C601,4
13,C602,4
14,CGA236,4
14,Calboe,4
14,C3125,4
13,CGA429,4
13,CGA430,4
13,C985,4
13,C984,4
12,CGA310,4
12,CGA314,4
14,CGA382,4
13,CGA365,4
13,CGA494,4
13,CGA495,4
14,C12265,4
19,C404,4
12,Cl11778,4
12,Cl11779,4
13,CGA594,4
13,CGA48,4
11,C3134,4
11,C3126,4
13,CGA311,4
14,CGA45,4
14,CGA46,4
20,C3043,4
20,CGA87,4
13,CGA368,4
13,CGA557,4
13,CGA364,4
12,C2208,4
41,CGA453,4
41,CGA383,4
18,CGA501,4
18,C11776,4
18,C3121,4
18,C3123,4
18,Calparcri,4
18,C3118,4
31,Triowe,4
29,Trijoh,4
30,Trimel,4
30,Trihoe,4
30,Tribit,4
29,Trijac,4
21,Tricri,4
21,Triwie,4
20,Triqua,4
13,Kinboe,4
13,Kinfis,4
13,Kinxen,4
13,Chaafr,4
12,Chacha,4
21,Chacaly,4
20,Chazey,4
20,Chadil,4
21,Chasen,4
12,Chanam,4
17,Riebrev,4
13,Braset,4
13,Bramel,4
13,Bratha,4
13,Bradra,4
13,Bratra,4
13,Bragut,4
13,Braven,4
13,Brapum,4
13,Bradam,4
12,Leiolep,5
18,B3088,5
20,BGA709,5
20,BGA710,5
40,BGA309,5
17,B11696,5
17,B11697,5
18,B11609,5
18,BGA392,5
18,B985,5
18,B983,5
18,B199,5
18,BGAA3,5
19,B11604,5
19,BGA583,5
18,BGA89,5
18,BGA40,5
18,BGAA2,5
18,BGAA1,5
17,BGA584,5
17,BGA706,5
16,BGA304,5
16,BGA303,5
17,BGAB1,5
17,BGA7,5
27,PGA445,5
27,PGA363,5
19,Rhaspe,5
18,Rhamar,5
40,Rhatem,5
18,FGA379,5
18,F647,5
18,F3016,5
18,F3015,5
27,F1476,5
27,FGA81,5
27,Furcep,5
27,Furpol,5
27,F2241,5
28,F12266,5
27,Furang,5
27,Fga490,5
27,FGA456,5
27,FGA516,5
27,FGA513,5
27,F12278,5
27,F12279,5
27,Furant,5
27,FGA331,5
27,FGA332,5
27,FGA465,5
27,FGA99,5
27,F12269,5
27,FGA15,5
27,FGA440,5
27,FGA581,5
27,FGA582,5
27,FGA104,5
27,FGA105,5
27,FGA489,5
18,FGA174,5
18,FGA175,5
20,FurbGB,5
19,CGA312,5
19,CGA963,5
19,CGA642,5
19,CGA763,5
19,CGA764,5
19,C601,5
19,C602,5
29,CGA236,5
41,Calboe,5
29,C3125,5
29,CGA429,5
29,CGA430,5
19,C985,5
19,C984,5
18,CGA310,5
18,CGA314,5
19,CGA382,5
19,CGA365,5
20,CGA494,5
20,CGA495,5
18,C12265,5
18,C404,5
18,Cl11778,5
18,Cl11779,5
18,CGA594,5
18,CGA48,5
18,C3134,5
18,C3126,5
28,CGA311,5
29,CGA45,5
29,CGA46,5
29,C3043,5
29,CGA87,5
29,CGA368,5
29,CGA557,5
29,CGA364,5
28,C2208,5
16,CGA453,5
16,CGA383,5
16,CGA501,5
16,C11776,5
16,C3121,5
16,C3123,5
15,Calparcri,5
15,C3118,5
17,Triowe,5
17,Trijoh,5
26,Trimel,5
19,Trihoe,5
19,Tribit,5
19,Trijac,5
19,Tricri,5
19,Triwie,5
19,Triqua,5
30,Kinboe,5
30,Kinfis,5
19,Kinxen,5
27,Chaafr,5
16,Chacha,5
17,Chacaly,5
17,Chazey,5
17,Chadil,5
17,Chasen,5
16,Chanam,5
29,Riebrev,5
19,Braset,5
19,Bramel,5
19,Bratha,5
18,Bradra,5
19,Bratra,5
19,Bragut,5
19,Braven,5
19,Brapum,5
19,Bradam,5
8,Leiolep,6
9,B3088,6
8,BGA709,6
8,BGA710,6
9,BGA309,6
7,B11696,6
7,B11697,6
7,B11609,6
7,BGA392,6
8,B985,6
8,B983,6
9,B199,6
9,BGAA3,6
9,B11604,6
9,BGA583,6
5,BGA89,6
5,BGA40,6
7,BGAA2,6
7,BGAA1,6
6,BGA584,6
6,BGA706,6
26,BGA304,6
26,BGA303,6
17,BGAB1,6
17,BGA7,6
7,PGA445,6
7,PGA363,6
14,Rhaspe,6
8,Rhamar,6
4,Rhatem,6
6,FGA379,6
6,F647,6
8,F3016,6
8,F3015,6
11,F1476,6
11,FGA81,6
12,Furcep,6
12,Furpol,6
12,F2241,6
12,F12266,6
12,Furang,6
12,Fga490,6
12,FGA456,6
12,FGA516,6
12,FGA513,6
12,F12278,6
12,F12279,6
12,Furant,6
12,FGA331,6
12,FGA332,6
11,FGA465,6
12,FGA99,6
12,F12269,6
12,FGA15,6
12,FGA440,6
12,FGA581,6
12,FGA582,6
8,FGA104,6
8,FGA105,6
8,FGA489,6
9,FGA174,6
9,FGA175,6
8,FurbGB,6
8,CGA312,6
8,CGA963,6
8,CGA642,6
10,CGA763,6
10,CGA764,6
7,C601,6
7,C602,6
7,CGA236,6
7,Calboe,6
7,C3125,6
7,CGA429,6
7,CGA430,6
7,C985,6
7,C984,6
6,CGA310,6
6,CGA314,6
6,CGA382,6
6,CGA365,6
6,CGA494,6
6,CGA495,6
8,C12265,6
12,C404,6
8,Cl11778,6
8,Cl11779,6
8,CGA594,6
8,CGA48,6
8,C3134,6
8,C3126,6
8,CGA311,6
8,CGA45,6
8,CGA46,6
8,C3043,6
8,CGA87,6
8,CGA368,6
8,CGA557,6
9,CGA364,6
8,C2208,6
5,CGA453,6
5,CGA383,6
5,CGA501,6
5,C11776,6
5,C3121,6
5,C3123,6
7,Calparcri,6
7,C3118,6
10,Triowe,6
8,Trijoh,6
9,Trimel,6
11,Trihoe,6
6,Tribit,6
6,Trijac,6
9,Tricri,6
8,Triwie,6
8,Triqua,6
8,Kinboe,6
8,Kinfis,6
6,Kinxen,6
15,Chaafr,6
15,Chacha,6
14,Chacaly,6
13,Chazey,6
15,Chadil,6
15,Chasen,6
10,Chanam,6
10,Riebrev,6
13,Braset,6
13,Bramel,6
13,Bratha,6
13,Bradra,6
13,Bratra,6
13,Bragut,6
13,Braven,6
12,Brapum,6
12,Bradam,6
6,Leiolep,7
17,B3088,7
12,BGA709,7
12,BGA710,7
11,BGA309,7
12,B11696,7
12,B11697,7
13,B11609,7
13,BGA392,7
12,B985,7
12,B983,7
12,B199,7
12,BGAA3,7
12,B11604,7
12,BGA583,7
11,BGA89,7
11,BGA40,7
12,BGAA2,7
12,BGAA1,7
12,BGA584,7
12,BGA706,7
18,BGA304,7
18,BGA303,7
13,BGAB1,7
13,BGA7,7
16,PGA445,7
16,PGA363,7
14,Rhaspe,7
11,Rhamar,7
12,Rhatem,7
13,FGA379,7
13,F647,7
12,F3016,7
12,F3015,7
12,F1476,7
12,FGA81,7
13,Furcep,7
15,Furpol,7
12,F2241,7
12,F12266,7
13,Furang,7
11,Fga490,7
13,FGA456,7
13,FGA516,7
13,FGA513,7
19,F12278,7
19,F12279,7
12,Furant,7
13,FGA331,7
13,FGA332,7
13,FGA465,7
13,FGA99,7
13,F12269,7
14,FGA15,7
14,FGA440,7
13,FGA581,7
13,FGA582,7
12,FGA104,7
12,FGA105,7
13,FGA489,7
12,FGA174,7
12,FGA175,7
13,FurbGB,7
15,CGA312,7
15,CGA963,7
23,CGA642,7
35,CGA763,7
35,CGA764,7
23,C601,7
23,C602,7
23,CGA236,7
23,Calboe,7
23,C3125,7
23,CGA429,7
23,CGA430,7
24,C985,7
24,C984,7
33,CGA310,7
33,CGA314,7
33,CGA382,7
33,CGA365,7
33,CGA494,7
33,CGA495,7
16,C12265,7
14,C404,7
15,Cl11778,7
15,Cl11779,7
15,CGA594,7
15,CGA48,7
15,C3134,7
15,C3126,7
14,CGA311,7
14,CGA45,7
14,CGA46,7
14,C3043,7
14,CGA87,7
14,CGA368,7
14,CGA557,7
13,CGA364,7
14,C2208,7
15,CGA453,7
15,CGA383,7
14,CGA501,7
14,C11776,7
15,C3121,7
15,C3123,7
15,Calparcri,7
15,C3118,7
30,Triowe,7
29,Trijoh,7
28,Trimel,7
31,Trihoe,7
31,Tribit,7
31,Trijac,7
32,Tricri,7
31,Triwie,7
31,Triqua,7
15,Kinboe,7
13,Kinfis,7
13,Kinxen,7
13,Chaafr,7
13,Chacha,7
13,Chacaly,7
12,Chazey,7
13,Chadil,7
13,Chasen,7
19,Chanam,7
12,Riebrev,7
13,Braset,7
13,Bramel,7
13,Bratha,7
13,Bradra,7
13,Bratra,7
13,Bragut,7
13,Braven,7
13,Brapum,7
13,Bradam,7
9,Leiolep,8
18,B3088,8
11,BGA709,8
11,BGA710,8
11,BGA309,8
13,B11696,8
13,B11697,8
12,B11609,8
12,BGA392,8
18,B985,8
18,B983,8
12,B199,8
12,BGAA3,8
12,B11604,8
12,BGA583,8
11,BGA89,8
11,BGA40,8
12,BGAA2,8
12,BGAA1,8
12,BGA584,8
12,BGA706,8
12,BGA304,8
12,BGA303,8
12,BGAB1,8
12,BGA7,8
30,PGA445,8
30,PGA363,8
13,Rhaspe,8
12,Rhamar,8
8,Rhatem,8
10,FGA379,8
10,F647,8
11,F3016,8
11,F3015,8
11,F1476,8
11,FGA81,8
11,Furcep,8
10,Furpol,8
10,F2241,8
10,F12266,8
10,Furang,8
10,Fga490,8
12,FGA456,8
12,FGA516,8
12,FGA513,8
11,F12278,8
11,F12279,8
