haploidn,tips,sim
15,Tricri,5
18,Trijac,5
18,Tribit,5
18,Trihoe,5
16,Trimel,5
20,Trijoh,5
18,Triowe,5
19,Calparcri,5
19,C3121,5
18,CGA501,5
20,CGA453,5
16,C2208,5
14,CGA364,5
14,CGA368,5
14,C3043,5
14,CGA45,5
16,CGA311,5
18,C3134,5
16,CGA594,5
18,Cl11778,5
16,C404,5
18,C12265,5
18,CGA494,5
18,CGA382,5
18,CGA310,5
18,C985,5
17,CGA429,5
17,C3125,5
18,Calboe,5
17,CGA236,5
18,C601,5
18,CGA763,5
18,CGA642,5
17,CGA312,5
17,FurbGB,5
15,FGA174,5
18,FGA489,5
19,FGA104,5
17,FGA581,5
18,FGA15,5
16,FGA99,5
18,FGA465,5
17,FGA331,5
18,Furant,5
17,F12278,5
17,FGA516,5
18,FGA456,5
17,FGA490,5
19,Furang,5
18,F2241,5
16,Furpol,5
18,Furcep,5
17,F1476,5
17,F3016,5
16,FGA379,5
18,Rhatem,5
16,Rhamar,5
18,Rhaspe,5
15,PGA445,6
18,BGAB1,6
19,BGA304,6
21,BGA584,6
19,BGAA2,6
18,BGA89,6
18,B11604,6
18,B199,6
18,B985,6
19,B11609,6
20,B11696,6
17,BGA309,6
16,BGA709,6
17,B3088,6
18,Bradam,6
18,Brapum,6
18,Braven,6
17,Bragut,6
18,Bratra,6
18,Bradra,6
18,Bratha,6
18,Bramel,6
18,Braset,6
18,Chanam,6
20,Chasen,6
19,Chadil,6
20,Chazey,6
20,Chacaly,6
20,Chacha,6
20,Chaafr,6
17,Kinxen,6
15,Kinfis,6
14,Kinboe,6
16,Triqua,6
16,Triwie,6
15,Tricri,6
14,Trijac,6
14,Tribit,6
14,Trihoe,6
15,Trimel,6
16,Trijoh,6
16,Triowe,6
19,Calparcri,6
19,C3121,6
19,CGA501,6
19,CGA453,6
21,C2208,6
20,CGA364,6
19,CGA368,6
19,C3043,6
20,CGA45,6
19,CGA311,6
20,C3134,6
20,CGA594,6
21,Cl11778,6
20,C404,6
19,C12265,6
20,CGA494,6
20,CGA382,6
20,CGA310,6
19,C985,6
21,CGA429,6
22,C3125,6
22,Calboe,6
21,CGA236,6
20,C601,6
21,CGA763,6
19,CGA642,6
19,CGA312,6
18,FurbGB,6
19,FGA174,6
17,FGA489,6
16,FGA104,6
19,FGA581,6
19,FGA15,6
19,FGA99,6
18,FGA465,6
18,FGA331,6
18,Furant,6
19,F12278,6
19,FGA516,6
17,FGA456,6
18,FGA490,6
19,Furang,6
19,F2241,6
18,Furpol,6
18,Furcep,6
18,F1476,6
18,F3016,6
18,FGA379,6
18,Rhatem,6
16,Rhamar,6
16,Rhaspe,6
16,PGA445,7
14,BGAB1,7
14,BGA304,7
15,BGA584,7
15,BGAA2,7
14,BGA89,7
13,B11604,7
13,B199,7
13,B985,7
14,B11609,7
14,B11696,7
15,BGA309,7
16,BGA709,7
15,B3088,7
17,Bradam,7
18,Brapum,7
18,Braven,7
17,Bragut,7
19,Bratra,7
19,Bradra,7
18,Bratha,7
17,Bramel,7
18,Braset,7
15,Chanam,7
17,Chasen,7
18,Chadil,7
17,Chazey,7
17,Chacaly,7
18,Chacha,7
19,Chaafr,7
19,Kinxen,7
16,Kinfis,7
18,Kinboe,7
16,Triqua,7
16,Triwie,7
15,Tricri,7
19,Trijac,7
17,Tribit,7
18,Trihoe,7
17,Trimel,7
18,Trijoh,7
18,Triowe,7
18,Calparcri,7
17,C3121,7
17,CGA501,7
17,CGA453,7
18,C2208,7
18,CGA364,7
18,CGA368,7
18,C3043,7
19,CGA45,7
17,CGA311,7
17,C3134,7
17,CGA594,7
17,Cl11778,7
17,C404,7
16,C12265,7
15,CGA494,7
17,CGA382,7
17,CGA310,7
17,C985,7
18,CGA429,7
17,C3125,7
17,Calboe,7
17,CGA236,7
18,C601,7
17,CGA763,7
18,CGA642,7
18,CGA312,7
15,FurbGB,7
17,FGA174,7
15,FGA489,7
14,FGA104,7
13,FGA581,7
14,FGA15,7
15,FGA99,7
15,FGA465,7
16,FGA331,7
16,Furant,7
15,F12278,7
16,FGA516,7
17,FGA456,7
15,FGA490,7
13,Furang,7
14,F2241,7
15,Furpol,7
13,Furcep,7
15,F1476,7
14,F3016,7
16,FGA379,7
17,Rhatem,7
19,Rhamar,7
18,Rhaspe,7
16,PGA445,8
14,BGAB1,8
17,BGA304,8
16,BGA584,8
17,BGAA2,8
16,BGA89,8
17,B11604,8
17,B199,8
16,B985,8
16,B11609,8
17,B11696,8
15,BGA309,8
16,BGA709,8
15,B3088,8
18,Bradam,8
18,Brapum,8
19,Braven,8
18,Bragut,8
19,Bratra,8
19,Bradra,8
18,Bratha,8
18,Bramel,8
18,Braset,8
19,Chanam,8
18,Chasen,8
21,Chadil,8
19,Chazey,8
20,Chacaly,8
21,Chacha,8
21,Chaafr,8
16,Kinxen,8
19,Kinfis,8
19,Kinboe,8
18,Triqua,8
18,Triwie,8
17,Tricri,8
16,Trijac,8
18,Tribit,8
18,Trihoe,8
17,Trimel,8
18,Trijoh,8
18,Triowe,8
17,Calparcri,8
17,C3121,8
17,CGA501,8
18,CGA453,8
14,C2208,8
17,CGA364,8
17,CGA368,8
17,C3043,8
17,CGA45,8
16,CGA311,8
17,C3134,8
16,CGA594,8
17,Cl11778,8
18,C404,8
17,C12265,8
17,CGA494,8
17,CGA382,8
17,CGA310,8
16,C985,8
17,CGA429,8
17,C3125,8
17,Calboe,8
16,CGA236,8
16,C601,8
16,CGA763,8
17,CGA642,8
17,CGA312,8
16,FurbGB,8
17,FGA174,8
19,FGA489,8
17,FGA104,8
18,FGA581,8
17,FGA15,8
18,FGA99,8
19,FGA465,8
18,FGA331,8
18,Furant,8
18,F12278,8
17,FGA516,8
17,FGA456,8
18,FGA490,8
17,Furang,8
18,F2241,8
19,Furpol,8
18,Furcep,8
17,F1476,8
18,F3016,8
17,FGA379,8
20,Rhatem,8
16,Rhamar,8
19,Rhaspe,8
17,PGA445,9
16,BGAB1,9
16,BGA304,9
16,BGA584,9
16,BGAA2,9
17,BGA89,9
16,B11604,9
17,B199,9
17,B985,9
17,B11609,9
17,B11696,9
17,BGA309,9
15,BGA709,9
16,B3088,9
19,Bradam,9
19,Brapum,9
19,Braven,9
19,Bragut,9
20,Bratra,9
20,Bradra,9
19,Bratha,9
19,Bramel,9
19,Braset,9
20,Chanam,9
20,Chasen,9
19,Chadil,9
20,Chazey,9
21,Chacaly,9
22,Chacha,9
19,Chaafr,9
19,Kinxen,9
