haploidn,tips,sim
17,Cl11778,4
17,C404,4
16,C12265,4
17,C3126,4
17,C3134,4
16,CGA963,4
16,CGA312,4
18,CGA87,4
18,C3043,4
19,CGA557,4
19,CGA368,4
19,CGA364,4
18,CGA46,4
18,CGA45,4
19,C2208,4
19,CGA311,4
18,C11776,4
18,CGA501,4
18,C3123,4
18,C3121,4
18,CGA453,4
18,CGA383,4
17,C3118,4
17,Calparcri,4
16,FGA516,4
16,FGA513,4
16,FGA456,4
16,FGA465,4
16,F12279,4
16,F12278,4
16,FGA332,4
16,FGA331,4
16,Furant,4
15,FGA582,4
15,FGA581,4
14,FGA440,4
15,FGA15,4
15,F12269,4
15,FGA99,4
11,F12266,4
11,F2241,4
15,Furang,4
15,FGA490,4
16,Furpol,4
15,Furcep,4
16,F1476,4
16,FGA81,4
16,FGA105,4
16,FGA104,4
16,FGA489,4
17,F3016,4
17,F3015,4
16,FGA175,4
16,FGA174,4
16,FurbGB,4
18,F647,4
18,FGA379,4
20,Tribit,4
18,Trihoe,4
19,Trijac,4
19,Trijoh,4
18,Trimel,4
20,Triowe,4
18,Tricri,4
18,Triwie,4
17,Triqua,4
18,Kinboe,4
15,Kinfis,4
16,Kinxen,4
17,Bratra,4
17,Bradra,4
17,Bratha,4
17,Bramel,4
17,Braset,4
17,Braven,4
17,Bragut,4
19,Brapum,4
17,Bradam,4
15,Chazey,4
15,Chacaly,4
15,Chaafr,4
16,Chacha,4
16,Chadil,4
16,Chasen,4
13,Chanam,4
18,Rhamar,4
19,Rhatem,4
20,Rhaspe,4
16,BGA706,5
16,BGA584,5
13,BGAA2,5
13,BGAA1,5
16,BGA40,5
16,BGA89,5
16,B11604,5
16,BGA583,5
15,BGAA3,5
15,B199,5
16,B983,5
16,B985,5
16,BGA304,5
16,BGA303,5
16,BGAB1,5
16,BGA7,5
16,B11609,5
16,BGA392,5
18,B11697,5
18,B11696,5
18,B3088,5
18,BGA710,5
18,BGA709,5
18,BGA309,5
18,PGA445,5
18,PGA363,5
18,CGA764,5
18,CGA763,5
18,C602,5
18,C601,5
18,CGA642,5
18,CGA430,5
18,CGA429,5
18,C3125,5
19,Calboe,5
18,CGA236,5
17,CGA382,5
17,CGA365,5
19,CGA495,5
19,CGA494,5
20,CGA314,5
20,CGA310,5
18,C985,5
18,C984,5
18,CGA594,5
18,CGA48,5
18,Cl11779,5
18,Cl11778,5
18,C404,5
18,C12265,5
16,C3126,5
16,C3134,5
18,CGA963,5
18,CGA312,5
17,CGA87,5
17,C3043,5
17,CGA557,5
17,CGA368,5
18,CGA364,5
16,CGA46,5
16,CGA45,5
17,C2208,5
18,CGA311,5
16,C11776,5
16,CGA501,5
16,C3123,5
16,C3121,5
16,CGA453,5
16,CGA383,5
18,C3118,5
17,Calparcri,5
18,FGA516,5
18,FGA513,5
19,FGA456,5
18,FGA465,5
18,F12279,5
18,F12278,5
17,FGA332,5
17,FGA331,5
18,Furant,5
17,FGA582,5
17,FGA581,5
18,FGA440,5
18,FGA15,5
18,F12269,5
18,FGA99,5
18,F12266,5
18,F2241,5
18,Furang,5
18,FGA490,5
18,Furpol,5
17,Furcep,5
16,F1476,5
16,FGA81,5
17,FGA105,5
17,FGA104,5
19,FGA489,5
17,F3016,5
17,F3015,5
15,FGA175,5
15,FGA174,5
19,FurbGB,5
18,F647,5
18,FGA379,5
19,Tribit,5
20,Trihoe,5
20,Trijac,5
18,Trijoh,5
18,Trimel,5
20,Triowe,5
18,Tricri,5
17,Triwie,5
17,Triqua,5
17,Kinboe,5
16,Kinfis,5
18,Kinxen,5
17,Bratra,5
17,Bradra,5
16,Bratha,5
16,Bramel,5
16,Braset,5
15,Braven,5
15,Bragut,5
16,Brapum,5
16,Bradam,5
17,Chazey,5
16,Chacaly,5
16,Chaafr,5
18,Chacha,5
17,Chadil,5
17,Chasen,5
15,Chanam,5
18,Rhamar,5
17,Rhatem,5
17,Rhaspe,5
14,BGA706,6
14,BGA584,6
17,BGAA2,6
17,BGAA1,6
16,BGA40,6
16,BGA89,6
17,B11604,6
17,BGA583,6
17,BGAA3,6
17,B199,6
18,B983,6
18,B985,6
17,BGA304,6
17,BGA303,6
18,BGAB1,6
18,BGA7,6
17,B11609,6
17,BGA392,6
18,B11697,6
18,B11696,6
18,B3088,6
17,BGA710,6
17,BGA709,6
17,BGA309,6
15,PGA445,6
15,PGA363,6
17,CGA764,6
17,CGA763,6
16,C602,6
16,C601,6
16,CGA642,6
15,CGA430,6
15,CGA429,6
15,C3125,6
15,Calboe,6
15,CGA236,6
17,CGA382,6
17,CGA365,6
16,CGA495,6
16,CGA494,6
16,CGA314,6
15,CGA310,6
14,C985,6
14,C984,6
15,CGA594,6
14,CGA48,6
14,Cl11779,6
14,Cl11778,6
15,C404,6
16,C12265,6
16,C3126,6
16,C3134,6
16,CGA963,6
16,CGA312,6
18,CGA87,6
18,C3043,6
18,CGA557,6
18,CGA368,6
18,CGA364,6
19,CGA46,6
19,CGA45,6
18,C2208,6
19,CGA311,6
13,C11776,6
13,CGA501,6
13,C3123,6
13,C3121,6
12,CGA453,6
12,CGA383,6
12,C3118,6
11,Calparcri,6
16,FGA516,6
16,FGA513,6
16,FGA456,6
16,FGA465,6
17,F12279,6
17,F12278,6
16,FGA332,6
16,FGA331,6
15,Furant,6
