name,MODEL,AICw,Log-likelihood,AIC,C_lossC,C_gainC,CR_lossC,CR_gainC,CR_dup,CD_lossC,CD_gainC,CD_dup,CDE_lossC,CDE_gainC,CDE_dup,CDE_demi,L_lossC,L_gainC,L_lossL,L_gainL,LR_lossC,LR_gainC,LR_lossL,LR_gainL,LR_dup,LD_lossC,LD_gainC,LD_lossL,LD_gainL,LD_dup,LDE_lossC,LDE_gainC,LDE_lossL,LDE_gainL,LDE_dup,LDE_demi
01A_iguania-root-noO_out,CONST_RATE,0.384,-169.6,345.2,0.0805673588,0.08669651839999999,0.0740828856,0.041749348,7.994555999999999e-4,0.0671542704,0.044591856799999996,4.44142e-4,0.034643075999999995,0.022295928399999998,0,0.0077280707999999995,0.0798567316,0,-9.771124e-4,0.0054185323999999995,0.0673319272,0,-1.776568e-4,0.0031978223999999996,7.994555999999999e-4,0.067953726,0,-1.776568e-4,0.0031978223999999996,4.44142e-4,0,8.88284e-4,0.0024871952000000003,0.0015989111999999998,0,0.0071951004
01A_iguania-root-noO_out,CONST_RATE_DEMI,0.181,-170.3,346.7,0.0805673588,0.08669651839999999,0.0740828856,0.041749348,7.994555999999999e-4,0.0671542704,0.044591856799999996,4.44142e-4,0.034643075999999995,0.022295928399999998,0,0.0077280707999999995,0.0798567316,0,-9.771124e-4,0.0054185323999999995,0.0673319272,0,-1.776568e-4,0.0031978223999999996,7.994555999999999e-4,0.067953726,0,-1.776568e-4,0.0031978223999999996,4.44142e-4,0,8.88284e-4,0.0024871952000000003,0.0015989111999999998,0,0.0071951004
01A_iguania-root-noO_out,CONST_RATE_DEMI_EST,0.365,-168.6,345.3,0.0805673588,0.08669651839999999,0.0740828856,0.041749348,7.994555999999999e-4,0.0671542704,0.044591856799999996,4.44142e-4,0.034643075999999995,0.022295928399999998,0,0.0077280707999999995,0.0798567316,0,-9.771124e-4,0.0054185323999999995,0.0673319272,0,-1.776568e-4,0.0031978223999999996,7.994555999999999e-4,0.067953726,0,-1.776568e-4,0.0031978223999999996,4.44142e-4,0,8.88284e-4,0.0024871952000000003,0.0015989111999999998,0,0.0071951004
01A_iguania-root-noO_out,CONST_RATE_NO_DUPL,0,-184.2,372.5,0.0805673588,0.08669651839999999,0.0740828856,0.041749348,7.994555999999999e-4,0.0671542704,0.044591856799999996,4.44142e-4,0.034643075999999995,0.022295928399999998,0,0.0077280707999999995,0.0798567316,0,-9.771124e-4,0.0054185323999999995,0.0673319272,0,-1.776568e-4,0.0031978223999999996,7.994555999999999e-4,0.067953726,0,-1.776568e-4,0.0031978223999999996,4.44142e-4,0,8.88284e-4,0.0024871952000000003,0.0015989111999999998,0,0.0071951004
01A_iguania-root-noO_out,LINEAR_RATE,0.038,-169.9,349.8,0.0805673588,0.08669651839999999,0.0740828856,0.041749348,7.994555999999999e-4,0.0671542704,0.044591856799999996,4.44142e-4,0.034643075999999995,0.022295928399999998,0,0.0077280707999999995,0.0798567316,0,-9.771124e-4,0.0054185323999999995,0.0673319272,0,-1.776568e-4,0.0031978223999999996,7.994555999999999e-4,0.067953726,0,-1.776568e-4,0.0031978223999999996,4.44142e-4,0,8.88284e-4,0.0024871952000000003,0.0015989111999999998,0,0.0071951004
01A_iguania-root-noO_out,LINEAR_RATE_DEMI,0.021,-170.5,351,0.0805673588,0.08669651839999999,0.0740828856,0.041749348,7.994555999999999e-4,0.0671542704,0.044591856799999996,4.44142e-4,0.034643075999999995,0.022295928399999998,0,0.0077280707999999995,0.0798567316,0,-9.771124e-4,0.0054185323999999995,0.0673319272,0,-1.776568e-4,0.0031978223999999996,7.994555999999999e-4,0.067953726,0,-1.776568e-4,0.0031978223999999996,4.44142e-4,0,8.88284e-4,0.0024871952000000003,0.0015989111999999998,0,0.0071951004
01A_iguania-root-noO_out,LINEAR_RATE_DEMI_EST,0.01,-170.2,352.5,0.0805673588,0.08669651839999999,0.0740828856,0.041749348,7.994555999999999e-4,0.0671542704,0.044591856799999996,4.44142e-4,0.034643075999999995,0.022295928399999998,0,0.0077280707999999995,0.0798567316,0,-9.771124e-4,0.0054185323999999995,0.0673319272,0,-1.776568e-4,0.0031978223999999996,7.994555999999999e-4,0.067953726,0,-1.776568e-4,0.0031978223999999996,4.44142e-4,0,8.88284e-4,0.0024871952000000003,0.0015989111999999998,0,0.0071951004
01A_iguania-root-noO_out,LINEAR_RATE_NO_DUPL,0,-179.5,367.1,0.0805673588,0.08669651839999999,0.0740828856,0.041749348,7.994555999999999e-4,0.0671542704,0.044591856799999996,4.44142e-4,0.034643075999999995,0.022295928399999998,0,0.0077280707999999995,0.0798567316,0,-9.771124e-4,0.0054185323999999995,0.0673319272,0,-1.776568e-4,0.0031978223999999996,7.994555999999999e-4,0.067953726,0,-1.776568e-4,0.0031978223999999996,4.44142e-4,0,8.88284e-4,0.0024871952000000003,0.0015989111999999998,0,0.0071951004
01B_iguania-root-exclude_out,CONST_RATE,0.096,-162.6,331.3,0.07334132889999999,0.0418384582,0.0697032021,0.040515503,0,0.07416817590000001,0.0410116112,0,0.0339834117,0.019430904500000002,0,0.0055398749,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.0397713407,0.0038034962,-3.307388e-4,0.0010749011,0,0.0058706137
01B_iguania-root-exclude_out,CONST_RATE_DEMI,0.1,-162.6,331.2,0.07334132889999999,0.0418384582,0.0697032021,0.040515503,0,0.07416817590000001,0.0410116112,0,0.0339834117,0.019430904500000002,0,0.0055398749,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.07400280649999999,0,-6.614776e-4,0.0029766491999999997,0,0.0397713407,0.0038034962,-3.307388e-4,0.0010749011,0,0.0058706137
