name,MODEL,AIC,AICw,C_lossC,C_gainC,CR_lossC,CR_gainC,CR_dup,CD_lossC,CD_gainC,CD_dup,CDE_lossC,CDE_gainC,CDE_dup,CDE_demi,L_lossC,L_gainC,L_lossL,L_gainL,LR_lossC,LR_gainC,LR_lossL,LR_gainL,LR_dup,LD_lossC,LD_gainC,LD_lossL,LD_gainL,LD_dup,LDE_lossC,LDE_gainC,LDE_lossL,LDE_gainL,LDE_dup,LDE_demi
3,CONST_RATE,343.7,0,0.023239008,0.051761414,0.035593421,0.0148968,3.97E-04,0.014062579,0.007190189,0.001827341,0.012791386,0.007706611,0,0.00397248,0.007190189,0,-1.59E-04,0.00488615,0.057799584,0.001867066,-0.001231469,5.16E-04,3.58E-04,0.039248102,0,-5.56E-04,9.53E-04,1.99E-04,0.005402573,3.58E-04,5.56E-04,5.56E-04,0,0.00397248
3,CONST_RATE_DEMI,335,0.013,0.023239008,0.051761414,0.035593421,0.0148968,3.97E-04,0.014062579,0.007190189,0.001827341,0.012791386,0.007706611,0,0.00397248,0.007190189,0,-1.59E-04,0.00488615,0.057799584,0.001867066,-0.001231469,5.16E-04,3.58E-04,0.039248102,0,-5.56E-04,9.53E-04,1.99E-04,0.005402573,3.58E-04,5.56E-04,5.56E-04,0,0.00397248
3,CONST_RATE_DEMI_EST,326.4,0.938,0.023239008,0.051761414,0.035593421,0.0148968,3.97E-04,0.014062579,0.007190189,0.001827341,0.012791386,0.007706611,0,0.00397248,0.007190189,0,-1.59E-04,0.00488615,0.057799584,0.001867066,-0.001231469,5.16E-04,3.58E-04,0.039248102,0,-5.56E-04,9.53E-04,1.99E-04,0.005402573,3.58E-04,5.56E-04,5.56E-04,0,0.00397248
3,CONST_RATE_NO_DUPL,370.6,0,0.023239008,0.051761414,0.035593421,0.0148968,3.97E-04,0.014062579,0.007190189,0.001827341,0.012791386,0.007706611,0,0.00397248,0.007190189,0,-1.59E-04,0.00488615,0.057799584,0.001867066,-0.001231469,5.16E-04,3.58E-04,0.039248102,0,-5.56E-04,9.53E-04,1.99E-04,0.005402573,3.58E-04,5.56E-04,5.56E-04,0,0.00397248
3,LINEAR_RATE,346.6,0,0.023239008,0.051761414,0.035593421,0.0148968,3.97E-04,0.014062579,0.007190189,0.001827341,0.012791386,0.007706611,0,0.00397248,0.007190189,0,-1.59E-04,0.00488615,0.057799584,0.001867066,-0.001231469,5.16E-04,3.58E-04,0.039248102,0,-5.56E-04,9.53E-04,1.99E-04,0.005402573,3.58E-04,5.56E-04,5.56E-04,0,0.00397248
3,LINEAR_RATE_DEMI,348.7,0,0.023239008,0.051761414,0.035593421,0.0148968,3.97E-04,0.014062579,0.007190189,0.001827341,0.012791386,0.007706611,0,0.00397248,0.007190189,0,-1.59E-04,0.00488615,0.057799584,0.001867066,-0.001231469,5.16E-04,3.58E-04,0.039248102,0,-5.56E-04,9.53E-04,1.99E-04,0.005402573,3.58E-04,5.56E-04,5.56E-04,0,0.00397248
3,LINEAR_RATE_DEMI_EST,332.3,0.049,0.023239008,0.051761414,0.035593421,0.0148968,3.97E-04,0.014062579,0.007190189,0.001827341,0.012791386,0.007706611,0,0.00397248,0.007190189,0,-1.59E-04,0.00488615,0.057799584,0.001867066,-0.001231469,5.16E-04,3.58E-04,0.039248102,0,-5.56E-04,9.53E-04,1.99E-04,0.005402573,3.58E-04,5.56E-04,5.56E-04,0,0.00397248
3,LINEAR_RATE_NO_DUPL,364.3,0,0.023239008,0.051761414,0.035593421,0.0148968,3.97E-04,0.014062579,0.007190189,0.001827341,0.012791386,0.007706611,0,0.00397248,0.007190189,0,-1.59E-04,0.00488615,0.057799584,0.001867066,-0.001231469,5.16E-04,3.58E-04,0.039248102,0,-5.56E-04,9.53E-04,1.99E-04,0.005402573,3.58E-04,5.56E-04,5.56E-04,0,0.00397248
4,CONST_RATE,330.3,0.196,0.034622446,0.015420704,0.034993136,0.015717256,0,0.034622446,0.016273291,0,0.014864669,0.009563802,0,0.002409485,0.025021575,0,4.08E-04,0.001186208,0.025021575,0,4.08E-04,0.001186208,0,0.025021575,0,4.08E-04,0.001186208,0,0.001223277,0.002854313,0.001149139,4.45E-04,0,0.002483623
4,CONST_RATE_DEMI,330.3,0.196,0.034622446,0.015420704,0.034993136,0.015717256,0,0.034622446,0.016273291,0,0.014864669,0.009563802,0,0.002409485,0.025021575,0,4.08E-04,0.001186208,0.025021575,0,4.08E-04,0.001186208,0,0.025021575,0,4.08E-04,0.001186208,0,0.001223277,0.002854313,0.001149139,4.45E-04,0,0.002483623
4,CONST_RATE_DEMI_EST,335.7,0.013,0.034622446,0.015420704,0.034993136,0.015717256,0,0.034622446,0.016273291,0,0.014864669,0.009563802,0,0.002409485,0.025021575,0,4.08E-04,0.001186208,0.025021575,0,4.08E-04,0.001186208,0,0.025021575,0,4.08E-04,0.001186208,0,0.001223277,0.002854313,0.001149139,4.45E-04,0,0.002483623
4,CONST_RATE_NO_DUPL,328.3,0.532,0.034622446,0.015420704,0.034993136,0.015717256,0,0.034622446,0.016273291,0,0.014864669,0.009563802,0,0.002409485,0.025021575,0,4.08E-04,0.001186208,0.025021575,0,4.08E-04,0.001186208,0,0.025021575,0,4.08E-04,0.001186208,0,0.001223277,0.002854313,0.001149139,4.45E-04,0,0.002483623
4,LINEAR_RATE,335.7,0.013,0.034622446,0.015420704,0.034993136,0.015717256,0,0.034622446,0.016273291,0,0.014864669,0.009563802,0,0.002409485,0.025021575,0,4.08E-04,0.001186208,0.025021575,0,4.08E-04,0.001186208,0,0.025021575,0,4.08E-04,0.001186208,0,0.001223277,0.002854313,0.001149139,4.45E-04,0,0.002483623
4,LINEAR_RATE_DEMI,335.7,0.013,0.034622446,0.015420704,0.034993136,0.015717256,0,0.034622446,0.016273291,0,0.014864669,0.009563802,0,0.002409485,0.025021575,0,4.08E-04,0.001186208,0.025021575,0,4.08E-04,0.001186208,0,0.025021575,0,4.08E-04,0.001186208,0,0.001223277,0.002854313,0.001149139,4.45E-04,0,0.002483623
4,LINEAR_RATE_DEMI_EST,342.2,0.001,0.034622446,0.015420704,0.034993136,0.015717256,0,0.034622446,0.016273291,0,0.014864669,0.009563802,0,0.002409485,0.025021575,0,4.08E-04,0.001186208,0.025021575,0,4.08E-04,0.001186208,0,0.025021575,0,4.08E-04,0.001186208,0,0.001223277,0.002854313,0.001149139,4.45E-04,0,0.002483623
4,LINEAR_RATE_NO_DUPL,333.7,0.036,0.034622446,0.015420704,0.034993136,0.015717256,0,0.034622446,0.016273291,0,0.014864669,0.009563802,0,0.002409485,0.025021575,0,4.08E-04,0.001186208,0.025021575,0,4.08E-04,0.001186208,0,0.025021575,0,4.08E-04,0.001186208,0,0.001223277,0.002854313,0.001149139,4.45E-04,0,0.002483623
5,CONST_RATE,329,0.176,0.037143138,0.013975013,0.035771585,0.013418978,0,0.035475033,0.014160358,0,0.03743969,0.013418978,0,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0.066835407,0.039330209,-0.002150002,-0.001297415,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0,0.039256071,0.009304319,-5.19E-04,1.85E-04,0,0
5,CONST_RATE_DEMI,329,0.176,0.037143138,0.013975013,0.035771585,0.013418978,0,0.035475033,0.014160358,0,0.03743969,0.013418978,0,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0.066835407,0.039330209,-0.002150002,-0.001297415,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0,0.039256071,0.009304319,-5.19E-04,1.85E-04,0,0
5,CONST_RATE_DEMI_EST,331.1,0.061,0.037143138,0.013975013,0.035771585,0.013418978,0,0.035475033,0.014160358,0,0.03743969,0.013418978,0,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0.066835407,0.039330209,-0.002150002,-0.001297415,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0,0.039256071,0.009304319,-5.19E-04,1.85E-04,0,0
5,CONST_RATE_NO_DUPL,327.1,0.454,0.037143138,0.013975013,0.035771585,0.013418978,0,0.035475033,0.014160358,0,0.03743969,0.013418978,0,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0.066835407,0.039330209,-0.002150002,-0.001297415,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0,0.039256071,0.009304319,-5.19E-04,1.85E-04,0,0
5,LINEAR_RATE,330.4,0.087,0.037143138,0.013975013,0.035771585,0.013418978,0,0.035475033,0.014160358,0,0.03743969,0.013418978,0,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0.066835407,0.039330209,-0.002150002,-0.001297415,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0,0.039256071,0.009304319,-5.19E-04,1.85E-04,0,0
5,LINEAR_RATE_DEMI,335,0.009,0.037143138,0.013975013,0.035771585,0.013418978,0,0.035475033,0.014160358,0,0.03743969,0.013418978,0,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0.066835407,0.039330209,-0.002150002,-0.001297415,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0,0.039256071,0.009304319,-5.19E-04,1.85E-04,0,0
5,LINEAR_RATE_DEMI_EST,334.1,0.014,0.037143138,0.013975013,0.035771585,0.013418978,0,0.035475033,0.014160358,0,0.03743969,0.013418978,0,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0.066835407,0.039330209,-0.002150002,-0.001297415,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0,0.039256071,0.009304319,-5.19E-04,1.85E-04,0,0
5,LINEAR_RATE_NO_DUPL,333,0.024,0.037143138,0.013975013,0.035771585,0.013418978,0,0.035475033,0.014160358,0,0.03743969,0.013418978,0,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0.066835407,0.039330209,-0.002150002,-0.001297415,0,0.024391402,0.003299141,6.67E-04,7.41E-04,0,0.039256071,0.009304319,-5.19E-04,1.85E-04,0,0
6,CONST_RATE,329.7,0,0.034511239,0.014123289,0.035845723,0.013641392,0,0.035771585,0.012677598,0,0.013826737,0.007117248,0,0.003225003,0.038106932,0,-4.82E-04,0.001000863,0.038106932,0,-4.82E-04,0.001000863,0,0.038106932,0,-4.82E-04,0.001000863,0,0.00518966,0.001668105,5.56E-04,3.71E-04,0,0.00296552
6,CONST_RATE_DEMI,329.7,0,0.034511239,0.014123289,0.035845723,0.013641392,0,0.035771585,0.012677598,0,0.013826737,0.007117248,0,0.003225003,0.038106932,0,-4.82E-04,0.001000863,0.038106932,0,-4.82E-04,0.001000863,0,0.038106932,0,-4.82E-04,0.001000863,0,0.00518966,0.001668105,5.56E-04,3.71E-04,0,0.00296552
6,CONST_RATE_DEMI_EST,310,0.952,0.034511239,0.014123289,0.035845723,0.013641392,0,0.035771585,0.012677598,0,0.013826737,0.007117248,0,0.003225003,0.038106932,0,-4.82E-04,0.001000863,0.038106932,0,-4.82E-04,0.001000863,0,0.038106932,0,-4.82E-04,0.001000863,0,0.00518966,0.001668105,5.56E-04,3.71E-04,0,0.00296552
6,CONST_RATE_NO_DUPL,327.8,0,0.034511239,0.014123289,0.035845723,0.013641392,0,0.035771585,0.012677598,0,0.013826737,0.007117248,0,0.003225003,0.038106932,0,-4.82E-04,0.001000863,0.038106932,0,-4.82E-04,0.001000863,0,0.038106932,0,-4.82E-04,0.001000863,0,0.00518966,0.001668105,5.56E-04,3.71E-04,0,0.00296552
6,LINEAR_RATE,333.2,0,0.034511239,0.014123289,0.035845723,0.013641392,0,0.035771585,0.012677598,0,0.013826737,0.007117248,0,0.003225003,0.038106932,0,-4.82E-04,0.001000863,0.038106932,0,-4.82E-04,0.001000863,0,0.038106932,0,-4.82E-04,0.001000863,0,0.00518966,0.001668105,5.56E-04,3.71E-04,0,0.00296552
6,LINEAR_RATE_DEMI,333.2,0,0.034511239,0.014123289,0.035845723,0.013641392,0,0.035771585,0.012677598,0,0.013826737,0.007117248,0,0.003225003,0.038106932,0,-4.82E-04,0.001000863,0.038106932,0,-4.82E-04,0.001000863,0,0.038106932,0,-4.82E-04,0.001000863,0,0.00518966,0.001668105,5.56E-04,3.71E-04,0,0.00296552
6,LINEAR_RATE_DEMI_EST,316,0.047,0.034511239,0.014123289,0.035845723,0.013641392,0,0.035771585,0.012677598,0,0.013826737,0.007117248,0,0.003225003,0.038106932,0,-4.82E-04,0.001000863,0.038106932,0,-4.82E-04,0.001000863,0,0.038106932,0,-4.82E-04,0.001000863,0,0.00518966,0.001668105,5.56E-04,3.71E-04,0,0.00296552
6,LINEAR_RATE_NO_DUPL,331.2,0,0.034511239,0.014123289,0.035845723,0.013641392,0,0.035771585,0.012677598,0,0.013826737,0.007117248,0,0.003225003,0.038106932,0,-4.82E-04,0.001000863,0.038106932,0,-4.82E-04,0.001000863,0,0.038106932,0,-4.82E-04,0.001000863,0,0.00518966,0.001668105,5.56E-04,3.71E-04,0,0.00296552
7,CONST_RATE,341.3,0.483,0.038310995,0.039710666,0.036431437,0.017875798,4.00E-04,0.034751831,0.017195958,2.00E-04,0.036591399,0.017475892,3.60E-04,0,0.033632095,0,-8.00E-05,0.002479417,0.034471897,0,-2.00E-04,0.001199718,3.60E-04,0.034871803,1.20E-04,-2.40E-04,0.001279699,2.00E-04,8.00E-05,6.80E-04,0.001199718,7.20E-04,0,0.00335921
7,CONST_RATE_DEMI,342.6,0.252,0.038310995,0.039710666,0.036431437,0.017875798,4.00E-04,0.034751831,0.017195958,2.00E-04,0.036591399,0.017475892,3.60E-04,0,0.033632095,0,-8.00E-05,0.002479417,0.034471897,0,-2.00E-04,0.001199718,3.60E-04,0.034871803,1.20E-04,-2.40E-04,0.001279699,2.00E-04,8.00E-05,6.80E-04,0.001199718,7.20E-04,0,0.00335921
7,CONST_RATE_DEMI_EST,343.3,0.178,0.038310995,0.039710666,0.036431437,0.017875798,4.00E-04,0.034751831,0.017195958,2.00E-04,0.036591399,0.017475892,3.60E-04,0,0.033632095,0,-8.00E-05,0.002479417,0.034471897,0,-2.00E-04,0.001199718,3.60E-04,0.034871803,1.20E-04,-2.40E-04,0.001279699,2.00E-04,8.00E-05,6.80E-04,0.001199718,7.20E-04,0,0.00335921
7,CONST_RATE_NO_DUPL,366.5,0,0.038310995,0.039710666,0.036431437,0.017875798,4.00E-04,0.034751831,0.017195958,2.00E-04,0.036591399,0.017475892,3.60E-04,0,0.033632095,0,-8.00E-05,0.002479417,0.034471897,0,-2.00E-04,0.001199718,3.60E-04,0.034871803,1.20E-04,-2.40E-04,0.001279699,2.00E-04,8.00E-05,6.80E-04,0.001199718,7.20E-04,0,0.00335921
7,LINEAR_RATE,345.6,0.056,0.038310995,0.039710666,0.036431437,0.017875798,4.00E-04,0.034751831,0.017195958,2.00E-04,0.036591399,0.017475892,3.60E-04,0,0.033632095,0,-8.00E-05,0.002479417,0.034471897,0,-2.00E-04,0.001199718,3.60E-04,0.034871803,1.20E-04,-2.40E-04,0.001279699,2.00E-04,8.00E-05,6.80E-04,0.001199718,7.20E-04,0,0.00335921
7,LINEAR_RATE_DEMI,346.8,0.031,0.038310995,0.039710666,0.036431437,0.017875798,4.00E-04,0.034751831,0.017195958,2.00E-04,0.036591399,0.017475892,3.60E-04,0,0.033632095,0,-8.00E-05,0.002479417,0.034471897,0,-2.00E-04,0.001199718,3.60E-04,0.034871803,1.20E-04,-2.40E-04,0.001279699,2.00E-04,8.00E-05,6.80E-04,0.001199718,7.20E-04,0,0.00335921
7,LINEAR_RATE_DEMI_EST,356.5,0,0.038310995,0.039710666,0.036431437,0.017875798,4.00E-04,0.034751831,0.017195958,2.00E-04,0.036591399,0.017475892,3.60E-04,0,0.033632095,0,-8.00E-05,0.002479417,0.034471897,0,-2.00E-04,0.001199718,3.60E-04,0.034871803,1.20E-04,-2.40E-04,0.001279699,2.00E-04,8.00E-05,6.80E-04,0.001199718,7.20E-04,0,0.00335921
7,LINEAR_RATE_NO_DUPL,361.8,0,0.038310995,0.039710666,0.036431437,0.017875798,4.00E-04,0.034751831,0.017195958,2.00E-04,0.036591399,0.017475892,3.60E-04,0,0.033632095,0,-8.00E-05,0.002479417,0.034471897,0,-2.00E-04,0.001199718,3.60E-04,0.034871803,1.20E-04,-2.40E-04,0.001279699,2.00E-04,8.00E-05,6.80E-04,0.001199718,7.20E-04,0,0.00335921
8,CONST_RATE,340.2,0.592,0.046908974,0.034151972,0.037871098,0.015276409,4.00E-04,0.036391446,0.015276409,2.00E-04,0.018915554,0.008917904,0,0.003199248,0.058986135,0,-0.001279699,0.00199953,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0.032192433,0.004119032,2.00E-04,7.20E-04,2.00E-04,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0
8,CONST_RATE_DEMI,341.5,0.309,0.046908974,0.034151972,0.037871098,0.015276409,4.00E-04,0.036391446,0.015276409,2.00E-04,0.018915554,0.008917904,0,0.003199248,0.058986135,0,-0.001279699,0.00199953,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0.032192433,0.004119032,2.00E-04,7.20E-04,2.00E-04,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0
8,CONST_RATE_DEMI_EST,353.3,0.001,0.046908974,0.034151972,0.037871098,0.015276409,4.00E-04,0.036391446,0.015276409,2.00E-04,0.018915554,0.008917904,0,0.003199248,0.058986135,0,-0.001279699,0.00199953,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0.032192433,0.004119032,2.00E-04,7.20E-04,2.00E-04,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0
8,CONST_RATE_NO_DUPL,367.2,0,0.046908974,0.034151972,0.037871098,0.015276409,4.00E-04,0.036391446,0.015276409,2.00E-04,0.018915554,0.008917904,0,0.003199248,0.058986135,0,-0.001279699,0.00199953,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0.032192433,0.004119032,2.00E-04,7.20E-04,2.00E-04,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0
8,LINEAR_RATE,345.1,0.051,0.046908974,0.034151972,0.037871098,0.015276409,4.00E-04,0.036391446,0.015276409,2.00E-04,0.018915554,0.008917904,0,0.003199248,0.058986135,0,-0.001279699,0.00199953,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0.032192433,0.004119032,2.00E-04,7.20E-04,2.00E-04,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0
8,LINEAR_RATE_DEMI,346.3,0.028,0.046908974,0.034151972,0.037871098,0.015276409,4.00E-04,0.036391446,0.015276409,2.00E-04,0.018915554,0.008917904,0,0.003199248,0.058986135,0,-0.001279699,0.00199953,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0.032192433,0.004119032,2.00E-04,7.20E-04,2.00E-04,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0
8,LINEAR_RATE_DEMI_EST,347.1,0.019,0.046908974,0.034151972,0.037871098,0.015276409,4.00E-04,0.036391446,0.015276409,2.00E-04,0.018915554,0.008917904,0,0.003199248,0.058986135,0,-0.001279699,0.00199953,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0.032192433,0.004119032,2.00E-04,7.20E-04,2.00E-04,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0
8,LINEAR_RATE_NO_DUPL,361.9,0,0.046908974,0.034151972,0.037871098,0.015276409,4.00E-04,0.036391446,0.015276409,2.00E-04,0.018915554,0.008917904,0,0.003199248,0.058986135,0,-0.001279699,0.00199953,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0.032192433,0.004119032,2.00E-04,7.20E-04,2.00E-04,0.031752536,0.004079041,2.40E-04,7.20E-04,3.60E-04,0
9,CONST_RATE,340.9,0,0.01731593,0.066064471,0.035151737,0.016476127,4.00E-04,0.037471192,0.01463656,2.00E-04,0.012876973,0.007798167,0,0.00399906,0.003119267,0,-8.00E-05,0.005198778,0.032832283,0,-4.00E-05,0.001199718,3.60E-04,0.03467185,0,-2.00E-04,0.001159727,2.00E-04,0.005438722,7.20E-04,5.60E-04,5.20E-04,0,0.00399906
9,CONST_RATE_DEMI,342.2,0,0.01731593,0.066064471,0.035151737,0.016476127,4.00E-04,0.037471192,0.01463656,2.00E-04,0.012876973,0.007798167,0,0.00399906,0.003119267,0,-8.00E-05,0.005198778,0.032832283,0,-4.00E-05,0.001199718,3.60E-04,0.03467185,0,-2.00E-04,0.001159727,2.00E-04,0.005438722,7.20E-04,5.60E-04,5.20E-04,0,0.00399906
9,CONST_RATE_DEMI_EST,325.1,0.945,0.01731593,0.066064471,0.035151737,0.016476127,4.00E-04,0.037471192,0.01463656,2.00E-04,0.012876973,0.007798167,0,0.00399906,0.003119267,0,-8.00E-05,0.005198778,0.032832283,0,-4.00E-05,0.001199718,3.60E-04,0.03467185,0,-2.00E-04,0.001159727,2.00E-04,0.005438722,7.20E-04,5.60E-04,5.20E-04,0,0.00399906
9,CONST_RATE_NO_DUPL,365.4,0,0.01731593,0.066064471,0.035151737,0.016476127,4.00E-04,0.037471192,0.01463656,2.00E-04,0.012876973,0.007798167,0,0.00399906,0.003119267,0,-8.00E-05,0.005198778,0.032832283,0,-4.00E-05,0.001199718,3.60E-04,0.03467185,0,-2.00E-04,0.001159727,2.00E-04,0.005438722,7.20E-04,5.60E-04,5.20E-04,0,0.00399906
